book_id,anchor_id,narrator_id
bukhari,174,30120
bukhari,174,20
bukhari,175,8273
bukhari,175,30013
bukhari,175,212
bukhari,176,13687
bukhari,176,30013
bukhari,177,281
bukhari,178,30367
bukhari,179,9
bukhari,181,143
bukhari,181,218
bukhari,181,579
bukhari,181,50
bukhari,182,28
bukhari,182,295
bukhari,182,9
bukhari,182,166
bukhari,183,924
bukhari,184,144
bukhari,185,16
bukhari,185,11210
bukhari,188,28872
bukhari,189,10949
bukhari,189,31899
bukhari,189,1810
bukhari,190,8
bukhari,190,11274
bukhari,190,277
bukhari,191,6124
bukhari,191,28
bukhari,191,16
bukhari,192,383
bukhari,192,28
bukhari,193,16
bukhari,193,16
bukhari,194,143
bukhari,195,16
bukhari,196,143
bukhari,197,3573
bukhari,197,992
bukhari,197,28
bukhari,197,16
bukhari,198,18675
bukhari,198,133
bukhari,199,22
bukhari,199,28
bukhari,202,30228
bukhari,202,16
bukhari,202,9
bukhari,203,16902
bukhari,203,295
bukhari,203,9
bukhari,203,947
bukhari,203,190
bukhari,204,10897
bukhari,205,21
bukhari,205,19163
bukhari,206,190
bukhari,207,16
bukhari,207,15
bukhari,207,3958
bukhari,207,16
bukhari,208,295
bukhari,208,10897
bukhari,209,16
bukhari,209,295
bukhari,209,132
bukhari,211,295
bukhari,211,18675
bukhari,212,16
bukhari,214,143
bukhari,214,28
bukhari,214,28
bukhari,215,22
bukhari,215,295
bukhari,215,132
bukhari,215,1924
bukhari,217,9916
bukhari,217,8087
bukhari,217,4392
bukhari,217,9271
bukhari,217,19
bukhari,218,143
bukhari,218,143
bukhari,219,579
bukhari,219,19
bukhari,220,18675
bukhari,221,295
bukhari,221,19
bukhari,222,16
bukhari,222,144
bukhari,223,16
bukhari,223,18675
bukhari,223,827
bukhari,225,967
bukhari,226,143
bukhari,227,143
bukhari,228,144
bukhari,229,11382
bukhari,229,383
bukhari,230,28
bukhari,230,383
bukhari,231,28
bukhari,232,28
bukhari,232,11382
bukhari,232,383
bukhari,233,383
bukhari,233,10756
bukhari,235,18675
bukhari,236,10949
bukhari,236,18675
bukhari,237,3573
bukhari,237,3223
